Nom,Prix,Carburant,Modèle,CV,KM,Ville
VOLKSWAGEN Jetta,175.000 DH  VENDUE,Diesel,2017,8 cv,103.000 km,Tanger
AUDI A3 Berline,175.000 DH  VENDUE,Diesel,2016,8 cv,100.000 km,Casablanca
AUDI A3 Berline,228.000 DH  VENDUE,Diesel,2019,8 cv,56.300 km,Rabat
PEUGEOT 307,56.000 DH  VENDUE,Diesel,2006,6 cv,300.000 km,Casablanca
KIA Picanto,72.000 DH  VENDUE,Essence,2019,6 cv,54.000 km,Casablanca
BMW Série 5,425.000 DH  VENDUE,Diesel,2017,8 cv,54.000 km,Rabat
RENAULT Koleos,60.000 DH  VENDUE,Diesel,2010,8 cv,135.000 km,Casablanca
DACIA Logan,83.000 DH  VENDUE,Diesel,2016,6 cv,107.000 km,Casablanca
SEAT Ibiza,90.000 DH  VENDUE,Diesel,2012,6 cv,134.000 km,Casablanca
CITROEN C4 Cactus,155.000 DH  VENDUE,Diesel,2018,6 cv,42.200 km,Casablanca
MINI Countryman,83.000 DH  VENDUE,Essence,2008,9 cv,183.000 km,Casablanca
OPEL Astra,120.000 DH  VENDUE,Diesel,2012,7 cv,68.000 km,Kénitra
VOLKSWAGEN Touareg,158.000 DH  VENDUE,Diesel,2013,12 cv,108.000 km,Kénitra
VOLKSWAGEN Touareg,105.000 DH  VENDUE,Diesel,2009,12 cv,179.000 km,Rabat
DACIA Sandero,82.000 DH  VENDUE,Diesel,2011,cv,190.000 km,Mohammadia
FORD Fusion,163.000 DH  VENDUE,Diesel,2015,8 cv,118.000 km,Casablanca
DACIA Logan,37.000 DH  VENDUE,Essence,2006,8 cv,270.000 km,Casablanca
OPEL Grandland,215.000 DH  VENDUE,Diesel,2020,6 cv,54.000 km,Rabat
DACIA Sandero,66.000 DH  VENDUE,Essence,2017,7 cv,155.000 km,Rabat
NISSAN Juke,133.000 DH  VENDUE,Diesel,2015,6 cv,63.000 km,Casablanca
HYUNDAI Santa Fe,95.000 DH  VENDUE,Diesel,2011,9 cv,149.000 km,Beni Mellal
NISSAN Juke,225.000 DH  VENDUE,Essence,2022,6 cv,8.000 km,Tétouan
BMW Série 4 Gran Coupé,389.000 DH  VENDUE,Diesel,2019,8 cv,86.000 km,Rabat
VOLVO S90,380.000 DH  VENDUE,Diesel,2018,8 cv,42.000 km,Casablanca
NISSAN Qashqai,195.000 DH  VENDUE,Diesel,2019,6 cv,78.000 km,Salé
BMW X5,290.000 DH  VENDUE,Diesel,2015,8 cv,121.000 km,Casablanca
KIA Sportage,245.000 DH  VENDUE,Diesel,2021,6 cv,11.600 km,Ouarzazate
VOLKSWAGEN Polo,125.000 DH  VENDUE,Diesel,2017,6 cv,95.000 km,Kénitra
HYUNDAI i10,66.000 DH  VENDUE,Essence,2012,6 cv,144.000 km,Casablanca
FORD Kuga,255.000 DH  VENDUE,Diesel,2020,8 cv,54.000 km,Casablanca
MERCEDES Classe M,80.000 DH  VENDUE,Diesel,2004,cv,250.000 km,Al Hoceima
HYUNDAI Santa Fe,105.000 DH  VENDUE,Diesel,2010,9 cv,303.000 km,Khouribga
MERCEDES Classe C,52.000 DH  VENDUE,Diesel,1998,cv,200.000 km,El Jadida
HYUNDAI i30,152.000 DH  VENDUE,Diesel,2018,6 cv,80.000 km,Casablanca
AUDI Q5,200.000 DH  VENDUE,Diesel,2012,8 cv,153.000 km,Rabat
BMW Série 1,198.000 DH  VENDUE,Diesel,2017,6 cv,97.000 km,Rabat
PEUGEOT 206,56.000 DH  VENDUE,Essence,2022,6 cv,151.000 km,Casablanca
RENAULT Clio,113.000 DH  VENDUE,Diesel,2016,6 cv,28.000 km,Tanger
PEUGEOT 308,121.000 DH  VENDUE,Diesel,2018,6 cv,51.000 km,Marrakech
RENAULT Laguna,57.500 DH  VENDUE,Essence,2014,9 cv,84.262 km,Fès
VOLKSWAGEN Golf,189.000 DH  VENDUE,Diesel,2016,6 cv,146.000 km,Khénifra
TOYOTA Corolla Sport,250.000 DH  VENDUE,Hybride,2021,8 cv,22.000 km,Tanger
OPEL Corsa,105.000 DH  VENDUE,Essence,2017,7 cv,25.900 km,Rabat
AUDI Q3,235.000 DH  VENDUE,Diesel,2015,8 cv,82.000 km,Rabat
FORD Kuga,158.000 DH  VENDUE,Diesel,2015,8 cv,199.000 km,Casablanca
FIAT 500,87.000 DH  VENDUE,Diesel,2015,6 cv,123.000 km,Casablanca
PEUGEOT 308,180.000 DH  VENDUE,Diesel,2020,6 cv,23.000 km,Casablanca
VOLKSWAGEN Golf,275.000 DH  VENDUE,Diesel,2019,8 cv,68.000 km,Rabat
RENAULT Scénic,140.000 DH  VENDUE,Diesel,2016,6 cv,136.000 km,Rabat
MINI 3 portes,140.000 DH  VENDUE,Essence,2016,9 cv,77.000 km,Rabat
PEUGEOT 207,83.000 DH  VENDUE,Diesel,2012,6 cv,115.600 km,Casablanca
KIA Carens,78.000 DH  VENDUE,Essence,2007,8 cv,100.312 km,Casablanca
SEAT Leon,130.000 DH  VENDUE,Diesel,2013,6 cv,130.000 km,Casablanca
VOLKSWAGEN CC,180.000 DH  VENDUE,Diesel,2016,8 cv,194.000 km,Rabat
MINI 3 portes,160.000 DH  VENDUE,Essence,2016,9 cv,105.000 km,Casablanca
MAZDA 2,63.000 DH  VENDUE,Essence,2008,8 cv,41.500 km,Casablanca
FORD Focus,125.000 DH  VENDUE,Diesel,2014,6 cv,95.000 km,Casablanca
CHEVROLET Cruze,95.000 DH  VENDUE,Diesel,2014,8 cv,88.000 km,Casablanca
PEUGEOT 207,55.000 DH  VENDUE,Essence,2009,8 cv,122.500 km,Casablanca
PEUGEOT Partner,57.000 DH  VENDUE,Diesel,2012,7 cv,125.000 km,Tanger
JEEP Cherokee,225.000 DH  VENDUE,Diesel,2017,8 cv,145.000 km,Casablanca
LAND ROVER Range Rover Sport,410.000 DH  VENDUE,Diesel,2014,12 cv,174.000 km,Tanger
HYUNDAI ix35,148.000 DH  VENDUE,Diesel,2012,8 cv,122.000 km,Rabat
MERCEDES Classe C,82.000 DH  VENDUE,Diesel,2001,9 cv,400.000 km,Marrakech
CITROEN C3,134.900 DH  VENDUE,Diesel,2020,6 cv,34.500 km,Salé
FIAT Panda,70.000 DH  VENDUE,Essence,2012,6 cv,35.000 km,Kénitra
VOLKSWAGEN Polo,130.000 DH  VENDUE,Diesel,2016,6 cv,48.400 km,Rabat
VOLVO V40,175.000 DH  VENDUE,Diesel,2018,8 cv,87.000 km,Rabat
VOLKSWAGEN Golf,215.000 DH  VENDUE,Diesel,2015,8 cv,160.000 km,Rabat
FIAT 500X,180.000 DH  VENDUE,Diesel,2019,6 cv,45.000 km,Casablanca
LAND ROVER Range Rover,200.000 DH  VENDUE,Diesel,2012,12 cv,190 km,Rabat
FORD Kuga,220.000 DH  VENDUE,Diesel,2020,6 cv,54.000 km,Casablanca
HYUNDAI Creta,182.000 DH  VENDUE,Diesel,2017,6 cv,50.400 km,Casablanca
DACIA Logan,51.000 DH  VENDUE,Diesel,2013,6 cv,145.000 km,Casablanca
VOLKSWAGEN Touareg,210.000 DH  VENDUE,Diesel,2011,12 cv,176.000 km,Casablanca
RENAULT Fluence,96.000 DH  VENDUE,Diesel,2010,6 cv,180.000 km,Casablanca
RENAULT Clio,139.000 DH  VENDUE,Diesel,2017,6 cv,101.111 km,Casablanca
RENAULT Clio,92.000 DH  VENDUE,Essence,2018,7 cv,105.000 km,Casablanca
FORD Kuga,160.000 DH  VENDUE,Diesel,2015,6 cv,194.000 km,Meknès
NISSAN Qashqai,180.000 DH  VENDUE,Diesel,2016,6 cv,33.000 km,Casablanca
FIAT Doblo,91.000 DH  VENDUE,Diesel,2016,5 cv,55.000 km,Larache
BMW Série 5,380.000 DH  VENDUE,Diesel,2017,8 cv,154.000 km,Rabat
SKODA Octavia,180.000 DH  VENDUE,Diesel,2018,8 cv,45.000 km,Tanger
OPEL Astra,78.000 DH  VENDUE,Diesel,2006,7 cv,128.500 km,Marrakech
SKODA Yeti,125.000 DH  VENDUE,Diesel,2012,8 cv,270.000 km,Agadir
VOLKSWAGEN Passat,190.000 DH  VENDUE,Diesel,2018,8 cv,92.000 km,Casablanca
PEUGEOT 208,155.000 DH  VENDUE,Diesel,2021,6 cv,11.500 km,Casablanca
PEUGEOT 3008,265.000 DH  VENDUE,Diesel,2019,8 cv,45.000 km,Casablanca
FORD Fiesta,68.000 DH  VENDUE,Diesel,2011,6 cv,111.988 km,Casablanca
TOYOTA RAV 4,142.000 DH  VENDUE,Diesel,2013,9 cv,152.000 km,Temara
FORD Fiesta,89.500 DH  VENDUE,Essence,2016,7 cv,63.600 km,Casablanca
RENAULT Laguna,68.000 DH  VENDUE,Diesel,2003,7 cv,147.000 km,Agadir
VOLKSWAGEN Tiguan,305.000 DH  VENDUE,Diesel,2017,8 cv,162.000 km,Fès
CITROEN C3,115.000 DH  VENDUE,Diesel,2018,6 cv,30.000 km,Rabat
PEUGEOT 301,110.000 DH  VENDUE,Diesel,2016,6 cv,59.000 km,Casablanca
PEUGEOT Partner Tepee,115.000 DH  VENDUE,Diesel,2018,cv,92.000 km,Casablanca
ALFA ROMEO 159,100.000 DH  VENDUE,Diesel,2010,10 cv,136.000 km,Casablanca
ALFA ROMEO Giulietta,165.000 DH  VENDUE,Diesel,2017,6 cv,60.000 km,Casablanca
AUDI Q5,205.000 DH  VENDUE,Diesel,2014,8 cv,142.000 km,Casablanca
BMW Série 5,0 DH  VENDUE,Diesel,2014,8 cv,170.000 km,Rabat
BMW Série 5,0 DH  VENDUE,Diesel,2014,8 cv,170.000 km,Rabat
RENAULT Mégane,123.000 DH  VENDUE,Diesel,2015,6 cv,146.900 km,Casablanca
FIAT Uno,20.000 DH  VENDUE,Diesel,2003,7 cv,220.000 km,Salé
SEAT Ibiza,75.000 DH  VENDUE,Diesel,2008,6 cv,210.000 km,Rabat
PEUGEOT Bipper Tepee,115.000 DH  VENDUE,Diesel,2018,6 cv,92.000 km,Casablanca
HYUNDAI i30,150.000 DH  VENDUE,Diesel,2018,6 cv,80.000 km,Casablanca
HYUNDAI i30,150.000 DH  VENDUE,Diesel,2018,6 cv,80.000 km,Casablanca
HYUNDAI i30,166.000 DH  VENDUE,Diesel,2016,6 cv,59.900 km,Rabat
VOLKSWAGEN Polo,105.000 DH  VENDUE,Diesel,2016,6 cv,117.000 km,Fès
FORD Focus,126.000 DH  VENDUE,Diesel,2014,6 cv,150.000 km,Temara
PEUGEOT 207,85.000 DH  VENDUE,Diesel,2011,6 cv,250.000 km,Temara
RENAULT Kadjar,22.000 DH  VENDUE,Diesel,2018,6 cv,55.000 km,Casablanca
FORD Fiesta,85.000 DH  VENDUE,Diesel,2018,6 cv,78.000 km,Marrakech
DACIA Logan,54.000 DH  VENDUE,Diesel,2007,6 cv,240.000 km,Salé
MERCEDES Classe C,147.000 DH  VENDUE,Diesel,2011,9 cv,230.000 km,Rabat
MERCEDES Classe B,165.000 DH  VENDUE,Diesel,2013,8 cv,156.000 km,Casablanca
BMW Série 5,145.000 DH  VENDUE,Diesel,2011,12 cv,292.000 km,Rabat
HYUNDAI Santa Fe,195.000 DH  VENDUE,Diesel,2016,9 cv,122.300 km,Sidi Kacem
KIA Sportage,120.000 DH  VENDUE,Diesel,2012,8 cv,104.500 km,Casablanca
OPEL Astra,92.000 DH  VENDUE,Diesel,2012,7 cv,240.000 km,Rabat
HYUNDAI Tucson,109.000 DH  VENDUE,Diesel,2011,9 cv,310.000 km,Salé
OPEL Grandland,200.000 DH  VENDUE,Diesel,2022,6 cv,15.000 km,Casablanca
HYUNDAI i30,153.000 DH  VENDUE,Diesel,2017,6 cv,69.000 km,Tanger
SEAT Leon,225.000 DH  VENDUE,Diesel,2018,8 cv,71.000 km,Casablanca
PEUGEOT 3008,114.000 DH  VENDUE,Diesel,2012,6 cv,190.640 km,Casablanca
OPEL Insignia,87.000 DH  VENDUE,Diesel,2010,8 cv,205.000 km,Tanger
OPEL Astra,147.000 DH  VENDUE,Diesel,2016,6 cv,158.000 km,Marrakech
RENAULT Scénic,55.000 DH  VENDUE,Essence,2009,9 cv,161.000 km,Agadir
TOYOTA Yaris,44.000 DH  VENDUE,Essence,2005,6 cv,160.000 km,Casablanca
LAND ROVER Discovery Sport,197.000 DH  VENDUE,Diesel,2015,8 cv,132.000 km,Rabat
AUDI Q7,170.000 DH  VENDUE,Diesel,2011,10 cv,200.000 km,Casablanca
SEAT Ibiza,100.000 DH  VENDUE,Diesel,2015,6 cv,140.000 km,Marrakech
SKODA Superb,215.000 DH  VENDUE,Diesel,2018,8 cv,54.000 km,Casablanca
AUDI A4,84.000 DH  VENDUE,Diesel,2008,8 cv,340.000 km,Rabat
TOYOTA Yaris,55.000 DH  VENDUE,Diesel,2012,5 cv,33.000 km,Agadir
VOLKSWAGEN Touareg,800.000 DH  VENDUE,Diesel,2022,12 cv,13.200 km,Agadir
KIA Carnival,195.000 DH  VENDUE,Diesel,2020,12 cv,90.300 km,Marrakech
HYUNDAI i40,139.000 DH  VENDUE,Diesel,2013,7 cv,128.000 km,Rabat
PEUGEOT 207,78.000 DH  VENDUE,Diesel,2011,6 cv,260.000 km,Kénitra
HONDA Jazz,58.000 DH  VENDUE,Essence,2007,8 cv,122.000 km,Casablanca
RENAULT Mégane Coupé,89.000 DH  VENDUE,Diesel,2009,6 cv,230.000 km,Temara
KIA Rio,129.500 DH  VENDUE,Essence,2022,8 cv,11.100 km,Casablanca
HYUNDAI i10,76.000 DH  VENDUE,Essence,2016,6 cv,40.667 km,Temara
MINI 3 portes,160.000 DH  VENDUE,Essence,2016,9 cv,102.000 km,Casablanca
DACIA Sandero,70.000 DH  VENDUE,Essence,2013,7 cv,107.812 km,Agadir
SKODA Superb,192.000 DH  VENDUE,Diesel,2019,8 cv,76.400 km,Casablanca
BMW Série 5,200.000 DH  VENDUE,Diesel,2014,8 cv,169.000 km,Rabat
HYUNDAI Creta,175.000 DH  VENDUE,Diesel,2017,6 cv,73.000 km,Rabat
HYUNDAI i30,121.000 DH  VENDUE,Diesel,2013,6 cv,1.640.000 km,Rabat
HYUNDAI i40,139.000 DH  VENDUE,Diesel,2013,7 cv,128.000 km,Rabat
SKODA Octavia,175.000 DH  VENDUE,Diesel,2017,8 cv,130.000 km,Casablanca
JEEP Grand Cherokee,315.000 DH  VENDUE,Diesel,2021,12 cv,9.000 km,Casablanca
DACIA Dokker,120.000 DH  VENDUE,Diesel,2021,6 cv,16.000 km,Casablanca
HYUNDAI Tucson,300.000 DH  VENDUE,Diesel,2020,6 cv,22.000 km,Casablanca
PEUGEOT 207,100.000 DH  VENDUE,Diesel,2012,6 cv,190.000 km,Casablanca
BMW Série 2 Gran Coupé,355.000 DH  VENDUE,Diesel,2020,8 cv,48.000 km,Casablanca
PEUGEOT 208,95.000 DH  VENDUE,Diesel,2017,6 cv,100.000 km,Tanger
PEUGEOT Partner Tepee,120.000 DH  VENDUE,Diesel,2018,6 cv,118.000 km,Rabat
VOLKSWAGEN Golf,200.000 DH  VENDUE,Diesel,2016,6 cv,140.000 km,Marrakech
KIA Picanto,47.000 DH  VENDUE,Essence,2007,6 cv,257.000 km,Kelaat Sraghna
PEUGEOT 208,78.000 DH  VENDUE,Essence,2017,7 cv,129.000 km,Rabat
FORD Kuga,225.000 DH  VENDUE,Diesel,2020,6 cv,20.000 km,Rabat
FORD Fiesta,110.000 DH  VENDUE,Diesel,2016,6 cv,52.400 km,Oujda
RENAULT Captur,145.000 DH  VENDUE,Diesel,2016,6 cv,60.000 km,Salé
VOLKSWAGEN Jetta,36.000 DH  VENDUE,Diesel,1997,6 cv,500.000 km,Agadir
VOLKSWAGEN Passat,190.000 DH  VENDUE,Diesel,2018,8 cv,91.000 km,Casablanca
DFSK K01S,85.000 DH  VENDUE,Essence,2021,6 cv,4.300 km,Rabat
RENAULT Clio,92.000 DH  VENDUE,Diesel,2015,6 cv,135.000 km,Rabat
PEUGEOT 508,138.000 DH  VENDUE,Diesel,2017,6 cv,138.000 km,Rabat
BMW Série 1,285.000 DH  VENDUE,Diesel,2017,8 cv,48.962 km,Marrakech
KIA Sportage,185.000 DH  VENDUE,Diesel,2017,8 cv,83.000 km,Casablanca
VOLKSWAGEN Amarok,125.000 DH  VENDUE,Diesel,2011,8 cv,500.000 km,Kénitra
AUDI A3 Berline,205.000 DH  VENDUE,Diesel,2014,6 cv,90.000 km,Casablanca
MERCEDES 190,30.000 DH  VENDUE,Diesel,1997,cv,500.000 km,Tétouan
BMW Série 1,185.000 DH  VENDUE,Diesel,2014,6 cv,114.000 km,Casablanca
AUDI A3 Sportback,375.000 DH  VENDUE,Essence,2015,14 cv,62.000 km,Casablanca
AUDI A3 Berline,170.000 DH  VENDUE,Diesel,2014,6 cv,104.000 km,Casablanca
HYUNDAI i10,58.000 DH  VENDUE,Essence,2022,06 cv,85.000 km,Casablanca
OPEL Astra,90.000 DH  VENDUE,Diesel,2011,cv,230.000 km,Salé
FORD Kuga,132.000 DH  VENDUE,Diesel,2013,8 cv,220.000 km,Safi
RENAULT Clio,82.000 DH  VENDUE,Diesel,2015,6 cv,105.000 km,Casablanca
NISSAN Qashqai,168.000 DH  VENDUE,Diesel,2016,6 cv,138.000 km,Rabat
OPEL Astra,167.000 DH  VENDUE,Diesel,2020,6 cv,49.500 km,Marrakech
PEUGEOT 301,80.000 DH  VENDUE,Diesel,2013,6 cv,162.000 km,Casablanca
PEUGEOT 301,85.000 DH  VENDUE,Diesel,2013,cv,127.500 km,Agadir
MERCEDES Classe B,165.000 DH  VENDUE,Diesel,2014,7 cv,117.678 km,Salé
RENAULT Kadjar,150.000 DH  VENDUE,Diesel,2016,6 cv,297.000 km,Taroudante
SEAT Ateca,240.000 DH  VENDUE,Diesel,2018,8 cv,103.000 km,Agadir
VOLKSWAGEN Golf,119.000 DH  VENDUE,Essence,2014,8 cv,49.888 km,Casablanca
MERCEDES Classe S,130.000 DH  VENDUE,Diesel,2006,12 cv,200.000 km,Agadir
BMW Série 3,270.000 DH  VENDUE,Diesel,2015,8 cv,118.000 km,Casablanca
HYUNDAI i30,85.000 DH  VENDUE,Diesel,2012,6 cv,132.000 km,Fès
DACIA Duster,85.000 DH  VENDUE,Diesel,2014,6 cv,127.000 km,Casablanca
DACIA Logan,115.000 DH  VENDUE,Diesel,2019,6 cv,87.000 km,Casablanca
FORD Fiesta,104.000 DH  VENDUE,Diesel,2016,6 cv,119.500 km,Casablanca
FIAT Palio,34.000 DH  VENDUE,Diesel,2000,7 cv,160.000 km,Beni Mellal
ALFA ROMEO 159,70.000 DH  VENDUE,Diesel,2009,10 cv,276.000 km,Tanger
FIAT 500,89.000 DH  VENDUE,Diesel,2018,7 cv,153.688 km,Meknès
PEUGEOT 207,58.000 DH  VENDUE,Essence,2011,8 cv,200.000 km,Kénitra
DACIA Logan,83.000 DH  VENDUE,Essence,2016,6 cv,170.000 km,Kénitra
VOLKSWAGEN Golf,132.000 DH  VENDUE,Diesel,2013,8 cv,127.000 km,Casablanca
MERCEDES CLS Coupé,680.000 DH  VENDUE,Diesel,2020,12 cv,72.000 km,Casablanca
CITROEN C-Elysée,80.000 DH  VENDUE,Diesel,2013,6 cv,190.000 km,Marrakech
HYUNDAI ix35,15.700 DH  VENDUE,Diesel,2014,8 cv,44.200 km,Casablanca
MERCEDES CLS Coupé,660.000 DH  VENDUE,Diesel,2020,12 cv,72.000 km,Casablanca
FORD Focus,76.000 DH  VENDUE,Diesel,2007,7 cv,264.000 km,Casablanca
HYUNDAI Tucson,259.000 DH  VENDUE,Diesel,2017,7 cv,71.000 km,Agadir
VOLKSWAGEN CC,137.000 DH  VENDUE,Diesel,2011,8 cv,215.000 km,Casablanca
MERCEDES Classe C,230.000 DH  VENDUE,Diesel,2013,9 cv,167.000 km,Salé
RENAULT Mégane,100.000 DH  VENDUE,Diesel,2013,6 cv,141.000 km,Meknès
HYUNDAI Accent,75.000 DH  VENDUE,Diesel,2009,6 cv,264.400 km,Casablanca
AUDI A3,120.000 DH  VENDUE,Diesel,2010,8 cv,243.000 km,Rabat
SUZUKI Celerio,52.000 DH  VENDUE,Essence,2010,5 cv,138.000 km,Rabat
MERCEDES Classe E,480.000 DH  VENDUE,Diesel,2021,8 cv,30.000 km,Casablanca
HYUNDAI Accent,140.000 DH  VENDUE,Diesel,2018,7 cv,37.500 km,Casablanca
FORD Fusion,79.800 DH  VENDUE,Diesel,2011,6 cv,136.000 km,Casablanca
PEUGEOT 508,130.000 DH  VENDUE,Diesel,2016,6 cv,142.644 km,Rabat
AUDI Q2,270.000 DH  VENDUE,Diesel,2019,8 cv,90.759 km,Mohammadia
VOLKSWAGEN Tiguan,185.000 DH  VENDUE,Diesel,2014,8 cv,189.000 km,Casablanca
MERCEDES Classe A,255.000 DH  VENDUE,Diesel,2017,8 cv,93.000 km,Kénitra
VOLKSWAGEN Passat,150.000 DH  VENDUE,Diesel,2012,7 cv,190.000 km,Casablanca
FORD Fiesta,90.000 DH  VENDUE,Diesel,2013,6 cv,96.700 km,Salé
HYUNDAI Accent,145.000 DH  VENDUE,Diesel,2018,7 cv,73.400 km,Casablanca
AUDI A4,220.000 DH  VENDUE,Diesel,2018,8 cv,118.000 km,Salé
VOLKSWAGEN Touareg,250.000 DH  VENDUE,Diesel,2017,12 cv,86.900 km,Casablanca
MERCEDES Classe A,240.000 DH  VENDUE,Diesel,2018,8 cv,66.000 km,Rabat
RENAULT Kangoo,83.000 DH  VENDUE,Diesel,2012,6 cv,190.000 km,Kénitra
AUDI A3 Berline,175.000 DH  VENDUE,Diesel,2014,6 cv,100.000 km,Casablanca
HYUNDAI Accent,190.000 DH  VENDUE,Diesel,2022,6 cv,3.000 km,Agadir
VOLKSWAGEN Touareg,150.000 DH  VENDUE,Diesel,2012,12 cv,82.000 km,Casablanca
RENAULT Kangoo,148.000 DH  VENDUE,Diesel,2018,6 cv,64.000 km,Fès
MAZDA 3,95.000 DH  VENDUE,Diesel,2011,6 cv,150.000 km,Nador
VOLVO XC60,125.000 DH  VENDUE,Diesel,2010,8 cv,130.000 km,Casablanca
VOLKSWAGEN Polo,85.000 DH  VENDUE,Diesel,2022,6 cv,200.000 km,Casablanca
DACIA Logan,59.000 DH  VENDUE,Diesel,2007,6 cv,200 km,Casablanca
SKODA Octavia,100.000 DH  VENDUE,Diesel,2010,8 cv,255.000 km,Casablanca
CITROEN C4,98.000 DH  VENDUE,Diesel,2012,6 cv,116.000 km,Casablanca
AUDI A3 Berline,270.000 DH  VENDUE,Diesel,2016,8 cv,75.000 km,Casablanca
HYUNDAI Tucson,208.000 DH  VENDUE,Diesel,2017,7 cv,120.000 km,Casablanca
PEUGEOT 508,135.000 DH  VENDUE,Diesel,2016,6 cv,142.000 km,Rabat
BMW Série 1 Coupé,140.000 DH  VENDUE,Diesel,2011,8 cv,126.000 km,Casablanca
DACIA Logan,78.000 DH  VENDUE,Diesel,2017,6 cv,125.000 km,Marrakech
JEEP Grand Cherokee,405.000 DH  VENDUE,Diesel,2022,12 cv,8.999 km,Casablanca
JEEP Grand Cherokee,375.000 DH  VENDUE,Diesel,2021,12 cv,9.000 km,Casablanca
HYUNDAI ix35,143.000 DH  VENDUE,Diesel,2012,8 cv,150.000 km,Agadir
FIAT Doblo,91.000 DH  VENDUE,Diesel,2016,5 cv,53.000 km,Laayoune
AUDI Q7,480.000 DH  VENDUE,Diesel,2017,12 cv,92.000 km,Casablanca
HONDA CR-V,240.000 DH  VENDUE,Diesel,2017,6 cv,70.000 km,Casablanca
FIAT Doblo,85.000 DH  VENDUE,Diesel,2017,6 cv,78.000 km,Casablanca
FIAT Doblo,85.000 DH  VENDUE,Diesel,2017,6 cv,78.000 km,Casablanca
FIAT Doblo,85.000 DH  VENDUE,Diesel,2017,6 cv,78.000 km,Casablanca
PEUGEOT Partner,58.000 DH  VENDUE,Diesel,2009,7 cv,360.000 km,Tanger
RENAULT Latitude,100.000 DH  VENDUE,Diesel,2012,8 cv,150.000 km,Fès
VOLKSWAGEN Golf,92.000 DH  VENDUE,Diesel,2008,8 cv,271.000 km,Ouarzazate
TOYOTA Corolla Berline,125.000 DH  VENDUE,Diesel,2014,6 cv,138.000 km,Rabat
SUZUKI SX-4,75.000 DH  VENDUE,Diesel,2015,cv,145.000 km,Marrakech
VOLKSWAGEN Passat,85.000 DH  VENDUE,Diesel,2006,8 cv,340.000 km,Casablanca
FORD Kuga,173.000 DH  VENDUE,Diesel,2016,8 cv,144.000 km,Casablanca
TOYOTA Yaris,75.000 DH  VENDUE,Essence,2009,6 cv,81.000 km,Rabat
VOLKSWAGEN Golf,75.000 DH  VENDUE,Diesel,2001,8 cv,267.700 km,Agadir
PEUGEOT 3008,258.000 DH  VENDUE,Diesel,2019,8 cv,98.000 km,Rabat
HYUNDAI Grand i10,103.000 DH  VENDUE,Essence,2020,6 cv,3.560 km,Casablanca
KIA Picanto,53.000 DH  VENDUE,Essence,2007,6 cv,66.700 km,Casablanca
KIA Cerato,190.000 DH  VENDUE,Diesel,2021,6 cv,51.600 km,Casablanca
NISSAN Qashqai,110.000 DH  VENDUE,Diesel,2012,6 cv,250.000 km,Casablanca
BMW Série 3,275.000 DH  VENDUE,Diesel,2015,8 cv,93.000 km,Casablanca
DACIA Logan,57.000 DH  VENDUE,Diesel,2009,6 cv,250.000 km,Rabat
LAND ROVER Range Rover Velar,540.000 DH  VENDUE,Diesel,2018,12 cv,108.000 km,Casablanca
VOLKSWAGEN Polo,44.000 DH  VENDUE,Diesel,2002,cv,260.000 km,Rabat
HONDA Accord,115.000 DH  VENDUE,Diesel,2011,9 cv,158.000 km,Rabat
BMW X1,135.000 DH  VENDUE,Diesel,2010,8 cv,250.000 km,Rabat
FIAT 500,124.000 DH  VENDUE,Essence,2020,7 cv,10.500 km,Rabat
FIAT Doblo,94.000 DH  VENDUE,Diesel,2018,6 cv,81.000 km,Rabat
HYUNDAI i30,86.000 DH  VENDUE,Diesel,2010,6 cv,195.000 km,Rabat
VOLVO XC60,163.000 DH  VENDUE,Diesel,2015,8 cv,135.000 km,Rabat
TOYOTA Land Cruiser Prado,210.000 DH  VENDUE,Diesel,2018,12 cv,185.000 km,Rabat
VOLKSWAGEN Golf,195.000 DH  VENDUE,Diesel,2018,8 cv,59.000 km,Kénitra
RENAULT Mégane,38.000 DH  VENDUE,Essence,2001,9 cv,275.000 km,Tanger
PEUGEOT 3008,170.000 DH  VENDUE,Diesel,2015,6 cv,48.700 km,Fès
AUDI Q3,530.000 DH  VENDUE,Diesel,2020,8 cv,19.000 km,Casablanca
ALFA ROMEO Giulietta,95.000 DH  VENDUE,Essence,2011,8 cv,72.000 km,Casablanca
RENAULT Laguna,50.000 DH  VENDUE,Diesel,1999,7 cv,400.000 km,Taourirt
FIAT 500,112.000 DH  VENDUE,Essence,2017,7 cv,63.000 km,Casablanca
AUDI A3 Berline,250.000 DH  VENDUE,Diesel,2017,8 cv,120.000 km,Casablanca
VOLVO XC60,345.000 DH  VENDUE,Diesel,2019,8 cv,132.000 km,Tanger
PEUGEOT 3008,265.000 DH  VENDUE,Diesel,2020,8 cv,62.000 km,Rabat
VOLVO XC40,350.000 DH  VENDUE,Diesel,2019,8 cv,73.000 km,Tanger
VOLVO XC60,350.000 DH  VENDUE,Diesel,2019,8 cv,132.000 km,Tanger
AUDI A4,220.000 DH  VENDUE,Diesel,2018,8 cv,115.000 km,Rabat
HYUNDAI i30,156.000 DH  VENDUE,Diesel,2017,6 cv,111.500 km,Casablanca
ALFA ROMEO Stelvio,340.000 DH  VENDUE,Diesel,2018,9 cv,73.000 km,Casablanca
MERCEDES SL,185.000 DH  VENDUE,Essence,1999,32 cv,110.000 km,Casablanca
JEEP Grand Cherokee,375.000 DH  VENDUE,Diesel,2021,12 cv,9.000 km,Casablanca
